sno,state,annual_recharge,extractable_resource,annual_extraction,stage_of_development,category
46,Lakhimpur Kheri,135182.42,33965.63,4730.12,54101.69,Over Exploited
47,Lalitpur,16130.37,5596.5,0,17931.89,Over Exploited
1,2,3,4,5,6,Safe
1,Agra,37767.38,15917.84,547.66,34898.5,Over Exploited
2,Aligarh,47094.18,16413.02,1607.99,34112.99,Over Exploited
3,Ambedkar Nagar,52738.03,11897.75,392.18,15515.15,Over Exploited
4,Amethi,40883,20985.23,891.9,27011.16,Over Exploited
5,Amroha,39389.29,5775.79,1075.17,9287.74,Over Exploited
6,Auraiya,27295.09,13148.75,286.71,27395.98,Over Exploited
7,Ayodhya,50208.72,15496.67,447.72,29116.43,Over Exploited
8,Azamgarh,77689.97,24668.31,1265.19,36694.2,Over Exploited
9,Bagpat,16395.8,7281.47,945.23,11750.52,Over Exploited
10,Bahraich,82931.76,23687.5,2945.77,39374.11,Over Exploited
11,Ballia,54838.75,15108.15,1799.62,23690.37,Over Exploited
12,Balrampur,60833.88,13722.98,1398.21,22084.51,Over Exploited
13,Banda,49916.03,8739.76,519.8,14125.53,Over Exploited
14,Barabanki,77451.87,45634.27,1121.58,86298.92,Over Exploited
15,Bareilly,72075.07,20247.69,1401.51,31304.69,Over Exploited
16,Basti,67278.11,4154.43,662.66,11358.61,Over Exploited
17,Bijnor,94119.36,18363.94,3865.7,32412.9,Over Exploited
18,Budaun,64031.17,6336.39,1631.21,10432.41,Over Exploited
19,Bulandshahar,43483.14,44703.01,1160.71,68698.67,Over Exploited
20,Chandauli,30828.51,16308.56,279.63,9387.52,Over Exploited
21,Chitrakoot,31991.6,4885.16,305.36,6690.62,Over Exploited
22,Deoria,50878.85,43733.69,1580.82,50969.75,Over Exploited
23,Etah,30538.68,16741.4,530.17,38759.43,Over Exploited
24,Etawah,27126.28,15245.14,313.59,28572.34,Over Exploited
25,Farrukhabad,30385.04,4011.6,492.27,12175.69,Over Exploited
26,Fatehpur,60433.94,22384.96,276.01,33490.02,Over Exploited
27,Firozabad,30861.37,16267.82,449.69,32977.57,Over Exploited
28,G.B.Nagar,13548.84,14044.77,401.64,21631.4,Over Exploited
29,Ghaziabad,15558.03,10401.85,539.38,16322.87,Over Exploited
30,Ghazipur,58581.69,17562.94,445.32,28826.92,Over Exploited
31,Gonda,77473.74,17055.08,1186.83,26537.04,Over Exploited
32,Gorakhpur,72545.94,67327.45,2046.4,32058.82,Over Exploited
33,Hamirpur,32695.52,5955.91,84.22,6918.95,Over Exploited
34,Hapur,17850.63,12541.33,647.33,19242.5,Over Exploited
35,Hardoi,96045.47,29847.31,2042.14,49922.89,Over Exploited
36,Hathras,22377.11,16078.08,442.05,33804.59,Over Exploited
37,Jalaun,64813.61,11745.63,513.29,26664.18,Over Exploited
38,Jaunpur,68918.56,22980.69,214.94,38979.32,Over Exploited
39,Jhansi,32707.65,17626.85,0,23823.38,Over Exploited
40,Kannauj,24284.91,10621.87,675.64,23960.88,Over Exploited
41,Kanpur Dehat,42732.68,12437.17,684.58,25488.88,Over Exploited
42,Kanpur Nagar,42662.14,14131.02,918.52,30144.79,Over Exploited
43,Kasganj,26858.88,13187.92,557.66,32695.34,Over Exploited
44,Kaushambi,31495.86,7629.91,271.18,12010.7,Over Exploited
45,Kushi Nagar,47036,69834.84,2263.39,54650.76,Over Exploited
46,Lakhimpur Kheri,135182.42,33965.63,4730.12,54101.69,Over Exploited
47,Lalitpur,16130.37,5596.5,0,17931.89,Over Exploited
1,2,3,4,5,6,Safe
48,Lucknow,41061.25,16215.96,829.93,24931.87,Over Exploited
49,Mahoba,9414.19,9214.76,0,12006.81,Over Exploited
50,Mahrajganj,67261.11,20159.82,1967.16,23440.29,Over Exploited
51,Mainpuri,37697.62,20442.84,420.64,36750.8,Over Exploited
52,Mathura,35588.28,34097.49,792.68,68422.45,Over Exploited
53,Maunath Bhanjan,30994.29,8775.42,458.75,10917,Over Exploited
54,Meerut,43700.5,15496.76,1783.17,23473.15,Over Exploited
55,Mirzapur,26904.55,16147.24,57.63,19459.4,Over Exploited
56,Moradabad,40743.49,12152.21,1106.96,16853.36,Over Exploited
57,Muzaffarnagar,44937.37,23481.67,3002.98,40023.55,Over Exploited
58,Pilibhit,71381.88,15736.31,4156.95,28454.46,Over Exploited
59,Pratapgarh,64142.56,31535.71,203.23,45815.11,Over Exploited
60,Prayagraj,73683.7,29485.01,0,39855.89,Over Exploited
61,Raibareli,56648.98,26150.55,225.36,41201.86,Over Exploited
62,Rampur,47164.81,12417.3,1571.16,20161.62,Over Exploited
63,Saharanpur,85630.26,21723.82,5245.01,37554.88,Over Exploited
64,Sambhal,38062.91,3337.31,929.64,5378.31,Over Exploited
65,Sant Kabir Nagar,42699.55,3681.91,764.46,6825.78,Over Exploited
66,Sant Ravidas Nagar,18384.55,22134.41,181.48,47148.3,Over Exploited
67,Shahjahanpur,88749.08,17684.61,2690.75,25398.16,Over Exploited
68,Shamli,22183,9303.59,1482.92,14001.06,Over Exploited
69,Shrawasti,43711.48,5042.14,1187.29,7609.34,Over Exploited
70,Siddharth Nagar,68463.79,10570.4,1324.31,16110.72,Over Exploited
71,Sitapur,96696.34,41773.65,2012.06,66705.43,Over Exploited
72,Sonbhadra,15345.95,30046.28,129.25,11842.12,Over Exploited
73,Sultanpur,49062.97,18731.17,174.63,26460.29,Over Exploited
74,Unnao,65534.12,45310.28,966.14,62820.65,Over Exploited
75,Varanasi,28608.47,9002.48,123.08,13485.96,Over Exploited
2,3,4,5,6,7,Safe
Lucknow,41061.25,16215.96,829.93,24931.87,83039.01,Over Exploited
Mahoba,9414.19,9214.76,0,12006.81,30635.76,Over Exploited
Mahrajganj,67261.11,20159.82,1967.16,23440.29,112828.38,Over Exploited
Mainpuri,37697.62,20442.84,420.64,36750.8,95311.9,Over Exploited
Mathura,35588.28,34097.49,792.68,68422.45,138900.9,Over Exploited
Maunath Bhanjan,30994.29,8775.42,458.75,10917,51145.46,Over Exploited
Meerut,43700.5,15496.76,1783.17,23473.15,84453.58,Over Exploited
Mirzapur,26904.55,16147.24,57.63,19459.4,62568.82,Over Exploited
Moradabad,40743.49,12152.21,1106.96,16853.36,70856.02,Over Exploited
Muzaffarnagar,44937.37,23481.67,3002.98,40023.55,111445.57,Over Exploited
Pilibhit,71381.88,15736.31,4156.95,28454.46,119729.6,Over Exploited
Pratapgarh,64142.56,31535.71,203.23,45815.11,141696.61,Over Exploited
Prayagraj,73683.7,29485.01,0,39855.89,143024.6,Over Exploited
Raibareli,56648.98,26150.55,225.36,41201.86,124226.75,Over Exploited
Rampur,47164.81,12417.3,1571.16,20161.62,81314.89,Over Exploited
Saharanpur,85630.26,21723.82,5245.01,37554.88,150153.97,Over Exploited
Sambhal,38062.91,3337.31,929.64,5378.31,47708.17,Over Exploited
Sant Kabir Nagar,42699.55,3681.91,764.46,6825.78,53971.7,Over Exploited
Sant Ravidas Nagar,18384.55,22134.41,181.48,47148.3,87848.74,Over Exploited
Shahjahanpur,88749.08,17684.61,2690.75,25398.16,134522.6,Over Exploited
Shamli,22183,9303.59,1482.92,14001.06,46970.57,Over Exploited
Shrawasti,43711.48,5042.14,1187.29,7609.34,57550.25,Over Exploited
Siddharth Nagar,68463.79,10570.4,1324.31,16110.72,96469.22,Over Exploited
Sitapur,96696.34,41773.65,2012.06,66705.43,207187.48,Over Exploited
Sonbhadra,15345.95,30046.28,129.25,11842.12,57363.6,Over Exploited
Sultanpur,49062.97,18731.17,174.63,26460.29,94429.06,Over Exploited
Unnao,65534.12,45310.28,966.14,62820.65,174631.19,Over Exploited
Varanasi,28608.47,9002.48,123.08,13485.96,51219.99,Over Exploited
Total(Ham),3643421.97,1412285.13,80646.31,2147412.74,7283766.15,Over Exploited
Total(Bcm),36.43,14.12,0.81,21.47,72.84,Semi Critical
1,2,3,4,5,6,Safe
1,Dehradun,50923.02,1128.82,2995.42,1666.98,Over Exploited
2,Haridwar,28302.56,6353.12,3577.67,9257.4,Over Exploited
3,Nainital,17510.26,3377.49,4236.36,4911.83,Over Exploited
4,Udhamsingh Nagar,56327.8,10111.94,3064.31,10107.27,Over Exploited
1,2,3,4,5,6,Safe
1,Dehradun,50923.02,1128.82,2995.42,1666.98,Over Exploited
2,Haridwar,28302.56,6353.12,3577.67,9257.4,Over Exploited
3,Nainital,17510.26,3377.49,4236.36,4911.83,Over Exploited
4,Udhamsingh Nagar,56327.8,10111.94,3064.31,10107.27,Over Exploited
1,2,3,4,5,6,Safe
1,Alipurduar,102782.18,1129.37,21452.15,3720.79,Over Exploited
2,Bankura,98606.75,16416.39,16172.89,28068.81,Over Exploited
3,Birbhum,76350.59,8665.36,12368.14,16675.75,Over Exploited
4,Dakshin Dinajpur,66147.9,9075.83,12931.9,25943.2,Over Exploited
5,Darjiling,34042.06,669.29,7397.67,995.72,Over Exploited
6,Haora,16999.38,894.68,3325.09,1407.08,Over Exploited
7,Hugli,80800.27,9608.55,16644.65,23547.14,Over Exploited
8,Jalpaiguri,150286.43,1952.77,30717.68,5401.85,Over Exploited
9,Jhargram,72564.12,4441.66,15109.92,9454.55,Over Exploited
10,Kalimpong,3156.89,189.21,557.84,98.37,Critical
11,Koch Bihar,135906.96,9098.87,30837,31483.46,Over Exploited
12,Kolkatta,0,0,0,0,Safe
13,Malda,81201.35,7077.97,13223.48,16329.5,Over Exploited
14,Murshidabad,114827.81,14324.54,27520.69,40081.53,Over Exploited
15,Nadia,98234.39,21137.11,22470.15,48156.69,Over Exploited
16,North 24 Parganas,77294.08,14869.44,19096.05,41919.93,Over Exploited
17,Paschim Barddhaman,16135.16,1922.65,3513.51,3311.51,Over Exploited
18,Paschim Medinipur,158148.85,13401.26,29960.86,39812.52,Over Exploited
19,Purba Barddhaman,123035.46,17317.07,25331.09,39049.86,Over Exploited
20,Purba Medinipur,45870.98,3083.32,10246.14,7916.12,Over Exploited
21,Puruliya,33532.12,8787.68,5742.81,10513.97,Over Exploited
22,South 24 Parganas,0,0,0,0,Safe
23,Uttar Dinajpur,78855.65,6775.3,15478.61,19374.91,Over Exploited
1,2,3,4,5,6,Safe
1,Alipurduar,102782.18,1129.37,21452.15,3720.79,Over Exploited
2,Bankura,98606.75,16416.39,16172.89,28068.81,Over Exploited
3,Birbhum,76350.59,8665.36,12368.14,16675.75,Over Exploited
4,Dakshin Dinajpur,66147.9,9075.83,12931.9,25943.2,Over Exploited
5,Darjiling,34042.06,669.29,7397.67,995.72,Over Exploited
6,Haora,16999.38,894.68,3325.09,1407.08,Over Exploited
7,Hugli,80800.27,9608.55,16644.65,23547.14,Over Exploited
8,Jalpaiguri,150286.43,1952.77,30717.68,5401.85,Over Exploited
9,Jhargram,72564.12,4441.66,15109.92,9454.55,Over Exploited
10,Kalimpong,3156.89,189.21,557.84,98.37,Critical
11,Koch Bihar,135906.96,9098.87,30837,31483.46,Over Exploited
12,Kolkatta,0,0,0,0,Safe
13,Malda,81201.35,7077.97,13223.48,16329.5,Over Exploited
14,Murshidabad,114827.81,14324.54,27520.69,40081.53,Over Exploited
15,Nadia,98234.39,21137.11,22470.15,48156.69,Over Exploited
16,North 24 Parganas,77294.08,14869.44,19096.05,41919.93,Over Exploited
17,Paschim Barddhaman,16135.16,1922.65,3513.51,3311.51,Over Exploited
18,Paschim Medinipur,158148.85,13401.26,29960.86,39812.52,Over Exploited
19,Purba Barddhaman,123035.46,17317.07,25331.09,39049.86,Over Exploited
20,Purba Medinipur,45870.98,3083.32,10246.14,7916.12,Over Exploited
21,Puruliya,33532.12,8787.68,5742.81,10513.97,Over Exploited
22,South 24 Parganas,0,0,0,0,Safe
23,Uttar Dinajpur,78855.65,6775.3,15478.61,19374.91,Over Exploited
1,2,"3
4","5
6",7,8,Safe
1,N & M Andaman,"9538.75
73.12","6116.57
78.78",15807.22,1580.73,Over Exploited
2,Nicobar,"4732.16
7.46","6264.08
8.68",11012.38,1101.25,Over Exploited
3,South Andaman,"5974.52
13.76","4802.74
6.7",10797.72,1079.76,Over Exploited
1,2,"3
4","5
6",7,8,Safe
1,N & M Andaman,"9538.75
73.12","6116.57
78.78",15807.22,1580.73,Over Exploited
2,Nicobar,"4732.16
7.46","6264.08
8.68",11012.38,1101.25,Over Exploited
3,South Andaman,"5974.52
13.76","4802.74
6.7",10797.72,1079.76,Over Exploited
1,2,"3
4","5
6",7,8,Safe
1,Dadra Nagar Haveli,"5876.08
661.93","329.73
1948.12",8815.86,582.76,Over Exploited
2,Daman,"2824.29
41.21","0
71.91",2937.41,146.88,Over Exploited
3,Diu,"545.42
14.13","0
23.09",582.64,29.13,Safe
1,2,"3
4","5
6",7,8,Safe
1,Dadra Nagar Haveli,"5876.08
661.93","329.73
1948.12",8815.86,582.76,Over Exploited
2,Daman,"2824.29
41.21","0
71.91",2937.41,146.88,Over Exploited
3,Diu,"545.42
14.13","0
23.09",582.64,29.13,Safe
1,2,3,4,5,6,Safe
1,Anantnag,2859.55,595.48,10288.85,201.3,Over Exploited
2,Bandipora,1084.76,102.35,5300.9,0.2,Safe
3,Baramulla,2685.07,1230.72,12823.78,418.08,Over Exploited
4,Barmulla,0,0,0,0,Safe
5,Budgam,830.09,1329.3,2858.94,258.44,Over Exploited
6,Doda,64.93,661.15,151.76,161.07,Over Exploited
7,Ganderbal,118.96,224.57,401.75,194.47,Over Exploited
8,Jammu,32569.62,4632.75,7492.26,2040.93,Over Exploited
9,Kathua,16775.04,2539.46,3666.44,1630.47,Over Exploited
10,Kishtwar,224.72,372.5,525.22,195,Over Exploited
11,Kulgam,1173.59,1112.51,4222.68,303.03,Over Exploited
12,Kupwara,0,0,0,0,Safe
13,Kupwarar,629.85,1933.65,3077.84,607.5,Over Exploited
14,Mirpur,0,0,0,0,Safe
15,Muzaffarabad,0,0,0,0,Safe
16,Poonch,291.25,2561.6,1637.61,664.76,Over Exploited
17,Pulwama,1087.05,1502.5,3800.95,337.6,Over Exploited
18,Rajouri,19612.89,2108.04,6012.14,1002.39,Over Exploited
19,Ramban,55.74,221.85,313.38,116.55,Over Exploited
20,Reasi,8051.09,9283.22,2510.85,4450.68,Over Exploited
21,Samba,15932.45,1410.3,3501.07,1078.02,Over Exploited
22,Shopian,1322.94,904.5,4759.97,397.26,Over Exploited
23,Srinagar,2539.46,468.27,8576.26,623.46,Over Exploited
24,Srinagar Hilly Area,0,0,0,0,Safe
25,Udhampur,11468.81,2108.87,3177.43,729.79,Over Exploited
1,2,3,4,5,6,Safe
1,Anantnag,2859.55,595.48,10288.85,201.3,Over Exploited
2,Bandipora,1084.76,102.35,5300.9,0.2,Safe
3,Baramulla,2685.07,1230.72,12823.78,418.08,Over Exploited
4,Barmulla,0,0,0,0,Safe
5,Budgam,830.09,1329.3,2858.94,258.44,Over Exploited
6,Doda,64.93,661.15,151.76,161.07,Over Exploited
7,Ganderbal,118.96,224.57,401.75,194.47,Over Exploited
8,Jammu,32569.62,4632.75,7492.26,2040.93,Over Exploited
9,Kathua,16775.04,2539.46,3666.44,1630.47,Over Exploited
10,Kishtwar,224.72,372.5,525.22,195,Over Exploited
11,Kulgam,1173.59,1112.51,4222.68,303.03,Over Exploited
12,Kupwara,0,0,0,0,Safe
13,Kupwarar,629.85,1933.65,3077.84,607.5,Over Exploited
14,Mirpur,0,0,0,0,Safe
15,Muzaffarabad,0,0,0,0,Safe
16,Poonch,291.25,2561.6,1637.61,664.76,Over Exploited
17,Pulwama,1087.05,1502.5,3800.95,337.6,Over Exploited
18,Rajouri,19612.89,2108.04,6012.14,1002.39,Over Exploited
19,Ramban,55.74,221.85,313.38,116.55,Over Exploited
20,Reasi,8051.09,9283.22,2510.85,4450.68,Over Exploited
21,Samba,15932.45,1410.3,3501.07,1078.02,Over Exploited
22,Shopian,1322.94,904.5,4759.97,397.26,Over Exploited
23,Srinagar,2539.46,468.27,8576.26,623.46,Over Exploited
24,Srinagar Hilly Area,0,0,0,0,Safe
25,Udhampur,11468.81,2108.87,3177.43,729.79,Over Exploited
1,Andhra Pradesh,679,591,87.0,38,Safe
3,Assam,245,244,99.59,1,Safe
4,Bihar,535,473,88.41,49,Safe
5,Chhattisgarh,146,120,82.19,21,Safe
7,Gujarat,252,184,73.02,24,Safe
8,Haryana,143,36,25.17,8,Safe
10,Jharkhand,263,240,91.25,12,Safe
11,Karnataka,237,144,60.76,33,Safe
12,Kerala,152,120,78.95,29,Safe
13,Madhya Pradesh,317,225,70.98,61,Safe
14,Maharashtra,359,302,84.12,41,Safe
19,Odisha,314,299,95.22,9,Safe
20,Punjab,153,22,14.38,12,Safe
21,Rajasthan,302,37,12.25,21,Safe
23,Tamil Nadu,313,127,40.58,55,Safe
24,Telangana,620,490,79.03,85,Semi Critical
26,Uttar Pradesh,836,566,67.7,165,Over Exploited
27,Uttarakhand,20,16,80,4,Safe
28,West Bengal,345,239,69.28,36,Safe
32,Delhi,34,5,14.71,2,Safe
34,Ladakh,18,17,94.44,1,Safe
35,Lakshadweep,5,4,80,1,Safe
36,Puducherry,8,3,37.50,3,Safe
5,Sri Sathya Sai,32,22,68.75,5,Safe
11,Palnadu,28,26,92.86,1,Safe
13,Y.S.R Kadapa,36,32,88.89,4,Safe
14,Ananthapuramu,32,31,96.88,1,Safe
15,Chittoor,31,21,67.74,10,Safe
16,East Godavari,19,15,78.95,4,Safe
19,Kurnool,26,25,96.15,1,Safe
20,Prakasam,38,30,78.95,5,Safe
21,Visakhapatnam,11,7,63.64,4,Safe
23,Annamayya,30,28,93.33,2,Safe
31,Rohtas,19,17,89.47,2,Safe
32,Samastipur,20,14,70,4,Safe
34,Sheikhpura,6,5,83.33,1,Safe
36,Vaishali,16,10,62.5,2,Safe
1,Balod,5,2,40,2,Safe
7,Bilaspur,4,2,50,2,Safe
9,Dhamtari,4,2,50,2,Safe
10,Durg,3,1,33.33,2,Safe
11,Gariaband,5,4,80,1,Safe
15,Kabirdham,4,3,75,1,Safe
16,Kanker,7,6,85.71,1,Safe
21,Mahasamund,5,3,60,2,Safe
26,Raigarh,7,6,85.71,1,Safe
28,Rajnandgaon,4,1,25,3,Safe
32,Surajpur,6,5,83.33,1,Safe
1,Ahmedabad,10,4,40.00,2,Safe
2,Amreli,11,10,90.91,1,Safe
8,Botad,4,3,75,1,Safe
12,Devbhumi Dwarka,4,2,50,2,Safe
15,Jamnagar,6,5,83.33,1,Safe
20,Mahisagar,6,5,83.33,1,Safe
22,Narmada,5,4,80,1,Safe
27,Rajkot,12,6,50,6,Safe
28,Sabarkantha,8,6,75,1,Safe
29,Surat,10,8,80,1,Safe
30,Surendranagar,10,9,90,1,Safe
32,Vadodara,9,5,55.56,1,Safe
1,Agar Malwa,4,1,25,1,Safe
3,Anuppur,4,3,75,1,Safe
4,Ashoknagar,4,2,50,2,Safe
6,Barwani,7,5,71.43,1,Safe
7,Betul,10,8,80,2,Safe
10,Burhanpur,2,1,50,1,Safe
11,Chhatarpur,8,4,50,4,Safe
12,Chhindwara,11,8,72.73,2,Safe
13,Damoh,7,6,85.71,1,Safe
15,Dewas,6,3,50,1,Safe
18,Guna,5,4,80,1,Safe
19,Gwalior,5,4,80,1,Safe
21,Hoshangabad,7,6,85.71,1,Safe
23,Jabalpur,8,7,87.5,1,Safe
24,Jhabua,6,5,83.33,1,Safe
26,Khandwa,7,6,85.71,1,Safe
1,Ahmednagar,14,4,28.57,5,Safe
2,Akola,7,6,85.71,1,Safe
3,Amravati,14,8,57.14,3,Safe
4,Aurangabad,9,8,88.89,1,Safe
7,Buldhana,13,8,61.54,3,Safe
13,Jalgaon,15,3,20.00,10,Safe
22,Nashik,15,9,60.00,4,Safe
26,Pune,14,9,64.29,4,Safe
29,Sangli,10,9,90.00,1,Safe
30,Satara,11,9,81.82,2,Safe
32,Solapur,11,3,27.27,7,Safe
1,Angul,8,7,87.5,1,Safe
2,Balasore,12,11,91.67,1,Safe
13,Jajpur,10,9,90,1,Safe
14,Jharsuguda,5,4,80,1,Safe
19,Khurda,10,7,70,3,Safe
24,Nayagarh,8,7,87.5,1,Safe
25,Nuapada,5,4,80,1,Safe
5,Bikaner,8,3,37.5,1,Safe
15,Tonk,6,1,16.67,1,Safe
19,Dungarpur,10,8,80,2,Safe
23,Bundi,5,1,20,1,Safe
25,Barmer,17,1,5.88,1,Safe
28,Hanumangarh,7,5,71.43,1,Safe
29,Banswara,11,5,45.45,5,Safe
31,Pali,10,1,10,1,Safe
1,Jagtial,20,17,85,3,Safe
3,Kamareddy,25,22,88,3,Safe
4,Medak,21,12,57.14,8,Safe
6,Mahabubnagar,17,9,52.94,7,Safe
7,Narayanpet,13,10,76.92,3,Safe
10,Khammam,21,18,85.71,2,Safe
12,Nalgonda,33,25,75.76,6,Safe
14,Rangareddy,27,16,59.26,6,Safe
15,Rajanna Siricilla,13,11,84.62,2,Safe
19,Peddapalle,14,13,92.86,1,Safe
21,Jangaon,12,10,83.33,1,Safe
22,Jogulamba Gadwal,13,12,92.31,1,Safe
23,Mahabubabad,18,15,83.33,3,Safe
25,Medchal Malkajgiri,15,5,33.33,5,Safe
26,Nagarkurnool,20,18,90,2,Safe
27,Nizamabad,33,25,75.76,7,Safe
28,Sangareddy,28,23,82.14,4,Safe
29,Siddipet,26,17,65.38,8,Safe
32,Hanumakonda,14,10,71.43,4,Safe
33,Yadadri Bhuvanagiri,17,6,35.29,5,Safe
1,Purba Barddhaman,23,18,78.26,5,Safe
2,Murshidabad,26,19,73.08,6,Safe
4,North 24 Parganas,22,8,36.36,6,Safe
6,Malda,15,14,93.33,1,Safe
13,Hugli,18,15,83.33,3,Safe
17,Bankura,22,21,95.45,1,Safe
19,Dakshin Dinajpur,8,6,75,2,Safe
20,Nadia,18,3,16.67,9,Safe
23,Paschim Medinipur,21,18,85.71,3,Safe
1,Andhra Pradesh,26411.44,25186.08,95.36,897.37,Over Exploited
3,Assam,20891.31,20849.84,99.80,41.47,Safe
4,Bihar,30954.51,28524.13,92.15,1995.40,Over Exploited
5,Chhattisgarh,12927.34,10132.06,78.38,2334.88,Over Exploited
7,Gujarat,25578.51,20121.22,78.66,2389.22,Over Exploited
8,Haryana,9358.58,2138.84,22.85,568.22,Over Exploited
10,Jharkhand,5757.56,5302.35,92.09,259.77,Over Exploited
11,Karnataka,16881.48,10783.49,63.88,2358.88,Over Exploited
12,Kerala,5129.67,4240.06,82.66,752.74,Over Exploited
13,Madhya Pradesh,33989.73,23437.40,68.95,6464.26,Over Exploited
14,Maharashtra,31147.44,25212.56,80.95,4317.33,Over Exploited
19,Odisha,16041.33,15546.24,96.91,495.09,Over Exploited
20,Punjab,17633.77,3250.53,18.43,1044.85,Over Exploited
21,Rajasthan,11374.61,1216.98,10.70,930.04,Over Exploited
23,Tamil Nadu,19461.53,9197.84,47.26,3550.20,Over Exploited
24,Telangana,18442.87,16150.68,87.57,1742.45,Over Exploited
26,Uttar Pradesh,66375.17,47105.34,70.97,12109.78,Over Exploited
27,Uttarakhand,1964.07,1583.97,80.65,380.10,Over Exploited
28,West Bengal,23562.00,19403.24,82.35,3007.80,Over Exploited
32,Delhi,341.90,72.34,21.16,12.16,Safe
34,Ladakh,60.68,54.85,90.39,5.83,Safe
35,Lakshadweep,5.70,4.31,75.60,1.39,Safe
36,Puducherry,173.48,40.58,23.39,108.82,Over Exploited
3,Ananthapuramu,1158.74,1129.57,97.48,29.18,Safe
4,Annamayya,822.42,793.85,96.53,28.57,Safe
6,Chittoor,859.04,583.88,67.97,275.16,Over Exploited
7,East Godavari,1019.25,872.29,85.58,146.96,Over Exploited
13,Kurnool,640.82,626.39,97.75,14.43,Safe
16,Palnadu,964.02,914.48,94.86,31.28,Safe
18,Prakasam,934.19,771.61,82.60,115.00,Over Exploited
19,Sri Potti Sriramulu Nellore,1871.25,1819.33,97.22,51.93,Safe
20,Sri Sathya Sai,1139.00,848.51,74.50,127.08,Over Exploited
23,Visakhapatnam,119.91,105.47,87.96,14.44,Safe
26,Y.S.R Kadapa,1018.83,955.49,93.78,63.34,Safe
6,Kamrup (M),233.68,192.22,82.26,41.47,Safe
1,Begusarai,506.76,424.34,83.74,82.41,Semi Critical
4,Nawada,625.7,479.02,76.56,146.68,Over Exploited
7,Kaimur,748.95,684.13,91.35,64.82,Safe
9,Bhojpur,789.71,664.04,84.09,125.67,Over Exploited
17,Gaya,1194.81,974.67,81.58,220.14,Over Exploited
19,Jehanabad,297.05,107.32,36.13,114.09,Over Exploited
27,Muzaffarpur,1120,756.5,67.54,317.32,Over Exploited
28,Nalanda,580.03,220.69,38.05,316.94,Over Exploited
29,Patna,982.19,746.83,76.04,189.9,Over Exploited
31,Rohtas,1065.05,936.11,87.89,128.93,Over Exploited
32,Samastipur,804.34,552.91,68.74,197.65,Over Exploited
34,Sheikhpura,163.31,139.38,85.34,23.93,Safe
36,Vaishali,730.85,492.41,67.38,66.9,Safe
1,Balod,358.66,150.06,41.84,134.6,Over Exploited
7,Bilaspur,464.69,173.96,37.44,290.73,Over Exploited
9,Dhamtari,616.59,231.91,37.61,384.68,Over Exploited
10,Durg,390.7,135.23,34.61,255.47,Over Exploited
11,Gariaband,337.69,251.8,74.56,85.89,Semi Critical
15,Kabirdham,657.26,550.65,83.78,106.61,Over Exploited
16,Kanker,658.27,573.2,87.08,85.07,Semi Critical
21,Mahasamund,938.24,619.2,66,319.04,Over Exploited
26,Raigarh,383.11,341.47,89.13,41.64,Safe
28,Rajnandgaon,352.03,101.09,28.72,250.94,Over Exploited
30,Sarangarh-Bilairagh,227.96,160.55,70.43,67.41,Safe
1,Ahmedabad,422.52,183.36,43.4,107.53,Over Exploited
2,Amreli,1426.38,1386.63,97.21,39.76,Safe
8,Botad,415.48,290.75,69.98,124.73,Over Exploited
12,Devbhumi Dwarka,417.98,162.89,38.97,255.09,Over Exploited
15,Jamnagar,1362.28,1293.73,94.97,68.56,Safe
20,Mahisagar,306.04,274.86,89.81,31.18,Safe
22,Narmada,386.93,206.25,53.3,180.68,Over Exploited
27,Rajkot,1638.04,931.36,56.86,706.68,Over Exploited
28,Sabarkantha,761.58,511.21,67.13,175,Over Exploited
29,Surat,1344.69,1114.57,82.89,107.57,Over Exploited
30,Surendranagar,760.58,711.06,93.49,49.53,Safe
32,Vadodara,1026.33,656.8,63.99,38.8,Safe
4,Jind,782.71,134.09,17.13,63.86,Safe
16,Palwal,392.41,155.91,39.73,75.82,Semi Critical
2,Giridih,400.31,363.84,90.89,36.47,Safe
4,Garhwa,273.72,246.41,90.02,27.31,Safe
12,Deoghar,160.86,127.57,79.3,33.3,Safe
13,Dhanbad,258.56,64.54,24.96,120.72,Over Exploited
15,Hazaribagh,320.29,310.61,96.98,9.68,Safe
18,Koderma,62.09,43.39,69.88,10.09,Safe
22,Ranchi,369.33,288.73,78.17,22.2,Safe
1,Bagalkot,588.12,127.67,21.71,297.73,Over Exploited
3,Belagavi,1086.56,523.56,48.18,393.96,Over Exploited
6,Bidar,337.57,248.27,73.55,89.3,Semi Critical
12,Davanagere,553.88,223.11,40.28,68.46,Safe
14,Gadag,298.76,62.32,20.86,176.58,Over Exploited
16,Haveri,515.2,237.53,46.1,240.49,Over Exploited
20,Koppal,586.46,298.09,50.83,166.35,Over Exploited
21,Mandya,649.84,509.66,78.43,140.18,Over Exploited
23,Raichur,713.5,593.49,83.18,120.01,Over Exploited
26,Tumakuru,762.73,254.76,33.4,67.93,Safe
30,Vijayapura,903.15,863.9,95.65,39.24,Safe
31,Yadgir,540.51,383.89,71.02,156.62,Over Exploited
2,Idukki,191.44,147.12,76.85,44.32,Safe
5,Thiruvananthapuram,267.68,188.76,70.52,78.92,Semi Critical
6,Thrissur,578.42,479.2,82.85,99.21,Critical
8,Kannur,406.1,345.3,85.03,60.8,Safe
9,Malappuram,475.6,253.8,53.36,221.8,Over Exploited
