sno,state,annual_recharge,extractable_resource,annual_extraction,stage_of_development,category
14,JORHAT,80772.65,8154.45,32140.71,8577.14,Over Exploited
15,KAMRUP,62608.7,2015.27,22462.15,1392.37,Over Exploited
16,KAMRUP (M),13360.41,7622.67,7023.53,1780.58,Over Exploited
17,KARBI ANGLONG,105907.62,491.96,26988.64,107.63,Over Exploited
18,KARIMGANJ,40446.37,1096.05,19365.36,281.84,Over Exploited
19,KOKRAJHAR,136436.66,1938.75,42129.04,1587.37,Over Exploited
20,LAKHIMPUR,86992.59,788.66,30085.16,204.89,Over Exploited
21,MORIGAON,35858.02,2545.89,8474.76,2162.5,Over Exploited
22,NAGAON,99592.56,8444.24,21452.74,10350.12,Over Exploited
23,NALBARI,23855.97,155.72,8849.97,43.15,Safe
24,SIBSAGAR,78656.97,603.47,32055.39,187.06,Over Exploited
25,SONITPUR,131621.88,1919.6,42220.16,1035.05,Over Exploited
26,TINSUKIA,111830.01,2578.92,40135.93,1772.98,Over Exploited
27,UDALGURI,49340.16,732.15,22147.2,126.3,Over Exploited
1,2,3,4,5,6,Safe
1,BAKSA,108627.73,4189.1,27266.79,6269.21,Over Exploited
2,BARPETA,59076.65,5225.43,22901.18,3527.78,Over Exploited
3,BONGAIGAON,37424.13,2572.17,12847.54,2897.03,Over Exploited
4,CACHAR,64341.73,2250.95,23182.18,2896.86,Over Exploited
5,CHIRANG,83302.01,413.42,25347.61,138.24,Over Exploited
6,DARRANG,41118.91,1500.03,14212.77,1052.21,Over Exploited
7,DHEMAJI,105039.67,302.56,38007,67.08,Safe
8,DHUBRI,82305.99,4417.11,18117.49,5033.08,Over Exploited
9,DIBRUGARH,108809.42,2133.21,37792.02,1121.99,Over Exploited
10,DIMA HASAO,43723.76,144.95,19071.65,18.92,Safe
11,GOALPARA,57216.7,2096.57,19326,2265.11,Over Exploited
12,GOLAGHAT,77427.93,1421.46,29903.35,856.9,Over Exploited
13,HAILAKANDI,19091.47,1478.02,9513.41,340.65,Over Exploited
14,JORHAT,80772.65,8154.45,32140.71,8577.14,Over Exploited
15,KAMRUP,62608.7,2015.27,22462.15,1392.37,Over Exploited
16,KAMRUP (M),13360.41,7622.67,7023.53,1780.58,Over Exploited
17,KARBI ANGLONG,105907.62,491.96,26988.64,107.63,Over Exploited
18,KARIMGANJ,40446.37,1096.05,19365.36,281.84,Over Exploited
19,KOKRAJHAR,136436.66,1938.75,42129.04,1587.37,Over Exploited
20,LAKHIMPUR,86992.59,788.66,30085.16,204.89,Over Exploited
21,MORIGAON,35858.02,2545.89,8474.76,2162.5,Over Exploited
22,NAGAON,99592.56,8444.24,21452.74,10350.12,Over Exploited
23,NALBARI,23855.97,155.72,8849.97,43.15,Safe
24,SIBSAGAR,78656.97,603.47,32055.39,187.06,Over Exploited
25,SONITPUR,131621.88,1919.6,42220.16,1035.05,Over Exploited
26,TINSUKIA,111830.01,2578.92,40135.93,1772.98,Over Exploited
27,UDALGURI,49340.16,732.15,22147.2,126.3,Over Exploited
